menu_id,school,menu_name,meal_period,primary_allergen,secondary_allergen,servings_planned,menu_status
MENU-0001,Maple Grove,Pancake Breakfast #2,Snack,none,egg,392,Planned
MENU-0002,Lakeside,Fruit Yogurt #3,Lunch,sesame,fish,331,Served
MENU-0003,Sunrise,Nut-Free Granola #4,Snack,wheat,fish,262,Served
MENU-0004,Maple Grove,Bean Tacos #5,Breakfast,none,milk,234,Review
MENU-0005,Lakeside,Vegetable Pasta #6,Lunch,tree_nut,fish,47,Review
MENU-0006,Riverside,Vegetable Pasta #7,Breakfast,soy,egg,359,Served
MENU-0007,Greenfield,Fruit Yogurt #8,Breakfast,none,none,279,Served
MENU-0008,Sunrise,Nut-Free Granola #9,Snack,tree_nut,wheat,60,Served
MENU-0009,Lakeside,Pancake Breakfast #10,Snack,none,soy,250,Served
MENU-0010,Lakeside,Sesame Noodles #11,Lunch,none,tree_nut,118,Served
MENU-0011,Riverside,Pancake Breakfast #12,Breakfast,wheat,none,295,Served
MENU-0012,Greenfield,Chicken Rice Bowl #1,Snack,soy,egg,74,Served
MENU-0013,Oak Valley,Fruit Yogurt #2,Breakfast,sesame,egg,136,Served
MENU-0014,Riverside,Pancake Breakfast #3,Lunch,wheat,soy,416,Served
MENU-0015,Greenfield,Fruit Yogurt #4,Snack,fish,shellfish,146,Served
MENU-0016,Sunrise,Nut-Free Granola #5,Breakfast,soy,peanut,166,Served
MENU-0017,Oak Valley,Chicken Rice Bowl #6,Breakfast,shellfish,soy,179,Served
MENU-0018,Sunrise,Chicken Rice Bowl #7,Snack,egg,shellfish,47,Review
MENU-0019,Maple Grove,Chicken Rice Bowl #8,Lunch,shellfish,tree_nut,292,Served
MENU-0020,Greenfield,Fruit Yogurt #9,Lunch,peanut,soy,335,Served
MENU-0021,Riverside,Fish Curry #10,Lunch,egg,none,47,Planned
MENU-0022,Sunrise,Chicken Rice Bowl #11,Snack,milk,sesame,180,Served
MENU-0023,Riverside,Chicken Rice Bowl #12,Snack,none,none,145,Review
MENU-0024,Greenfield,Fruit Yogurt #1,Breakfast,fish,none,57,Served
MENU-0025,Maple Grove,Bean Tacos #2,Breakfast,fish,wheat,41,Served
MENU-0026,Oak Valley,Bean Tacos #3,Breakfast,peanut,tree_nut,293,Served
MENU-0027,Maple Grove,Chicken Rice Bowl #4,Snack,tree_nut,soy,419,Served
MENU-0028,Maple Grove,Fish Curry #5,Breakfast,none,sesame,88,Served
MENU-0029,Riverside,Sesame Noodles #6,Breakfast,soy,tree_nut,175,Served
MENU-0030,Greenfield,Nut-Free Granola #7,Snack,wheat,egg,229,Served
MENU-0031,Lakeside,Chicken Rice Bowl #8,Snack,none,fish,237,Planned
MENU-0032,Oak Valley,Vegetable Pasta #9,Lunch,soy,shellfish,221,Served
MENU-0033,Oak Valley,Vegetable Pasta #10,Snack,soy,fish,189,Planned
MENU-0034,Lakeside,Chicken Rice Bowl #11,Lunch,soy,shellfish,385,Served
MENU-0035,Oak Valley,Nut-Free Granola #12,Breakfast,peanut,shellfish,109,Served
MENU-0036,Lakeside,Bean Tacos #1,Breakfast,milk,shellfish,399,Served
MENU-0037,Sunrise,Fish Curry #2,Snack,shellfish,none,381,Served
MENU-0038,Greenfield,Vegetable Pasta #3,Breakfast,sesame,wheat,310,Planned
MENU-0039,Oak Valley,Pancake Breakfast #4,Breakfast,milk,wheat,232,Planned
MENU-0040,Lakeside,Pancake Breakfast #5,Lunch,none,none,323,Planned
MENU-0041,Maple Grove,Nut-Free Granola #6,Breakfast,sesame,wheat,273,Served
MENU-0042,Oak Valley,Vegetable Pasta #7,Breakfast,milk,soy,324,Planned
MENU-0043,Sunrise,Nut-Free Granola #8,Snack,milk,peanut,352,Served
MENU-0044,Riverside,Nut-Free Granola #9,Snack,wheat,egg,288,Served
