workflow_id,kitchen_id,workflow_step,task_intensity,cross_contact_control_index,sanitation_readiness_index,utensil_separation_index,surface_separation_index,changeover_discipline_index,verification_status,deviations_30d
WF-0001,K-01,Receiving,High,0.8763729434470174,0.8030533542183644,0.7160940691208529,0.5162258403725579,0.756765449132712,Pass,0
WF-0002,K-02,Preparation,High,0.7138197446558735,0.6859753745555053,0.4560260682666908,0.7800816568304441,0.6566255480745907,Pass,2
WF-0003,K-03,Plating,Medium,0.9148976819456287,0.19611196242088005,0.25063035602519657,0.24023436913301233,0.2507148461368953,Pass,1
WF-0004,K-04,Plating,Low,0.6853954605119075,0.5774035956308506,0.5451097291753365,0.3317748172783992,0.8406331600287409,Fail,4
WF-0005,K-05,Preparation,Low,0.6591478836712379,0.3490134830795079,0.5440958164488533,0.5377800292098371,0.4028620550446217,Pass,2
WF-0006,K-06,Receiving,Low,0.256531140457496,0.24373224276504363,0.503803789756051,0.5465085358135644,0.1591994816708153,Review,0
WF-0007,K-01,Preparation,Low,0.24936356174707786,0.8774200936478184,0.46490836964941806,0.1639841783069264,0.7130336932716943,Pass,0
WF-0008,K-02,Cooking,High,0.4198838258332569,0.9224165206599043,0.19713103593528442,0.6040116615405334,0.304561994162001,Pass,1
WF-0009,K-03,Cooking,Low,0.8693090709463845,0.976386906893534,0.8398530153933947,0.6399843511082236,0.8807906948098689,Pass,3
WF-0010,K-04,Preparation,High,0.41623833525557286,0.5321553107974093,0.8310945672628941,0.6213103396476778,0.4680471819837354,Pass,4
WF-0011,K-05,Preparation,Low,0.5221462201532185,0.7181740441977137,0.8494487345298,0.3198163784821654,0.2146813693431711,Pass,2
WF-0012,K-06,Cooking,Medium,0.40313695668875393,0.15161167651846486,0.2280425344996424,0.8594750673909076,0.8943984249307971,Pass,4
WF-0013,K-01,Receiving,Low,0.8972076628446426,0.7391849951019888,0.6440908525965025,0.5943308291965109,0.2567810181500011,Pass,3
WF-0014,K-02,Plating,Medium,0.8359454991671167,0.8715032707348047,0.48890827511709745,0.7821609621562767,0.3623680045954859,Pass,0
WF-0015,K-03,Cooking,Medium,0.6136574129905763,0.5123050914260404,0.5286545908462034,0.370538746602767,0.7537713013968527,Pass,0
WF-0016,K-04,Preparation,Medium,0.8999360977655855,0.6694946936510215,0.5915622598499405,0.6121977337716755,0.7260291281331538,Pass,1
WF-0017,K-05,Receiving,High,0.896105293126927,0.5691360973405352,0.5744565824223221,0.4320024753799462,0.5377953872148803,Pass,0
WF-0018,K-06,Cleaning,High,0.7902548753483397,0.6639720561515253,0.6896500134516123,0.346454198857228,0.7073331151168023,Pass,0
WF-0019,K-01,Preparation,High,0.6216480861647973,0.4531089592205816,0.6384950082892333,0.24281272345616428,0.6307239581723731,Pass,0
WF-0020,K-02,Cooking,Medium,0.3398312451428722,0.5672341878082753,0.3027684331973437,0.6299722628206881,0.3735013721632868,Pass,3
WF-0021,K-03,Plating,Medium,0.30224393916550313,0.3634193709452901,0.332763834872076,0.25176165981090315,0.5964377530342656,Pass,3
WF-0022,K-04,Preparation,Low,0.5744201581876426,0.16514598820088888,0.7371255395183187,0.8292446399105975,0.3864659767597789,Review,2
WF-0023,K-05,Cooking,Low,0.5274598136914267,0.6272868371493454,0.9003826697905314,0.7392555033224911,0.5745115595109358,Pass,3
WF-0024,K-06,Receiving,Medium,0.8059416165021077,0.28877896587908247,0.5751844273767591,0.43027657529480334,0.7972095141123058,Review,4
WF-0025,K-01,Cooking,High,0.9692316974670484,0.33645906360638755,0.8083062074990411,0.4076602074303334,0.9715027486751088,Review,3
WF-0026,K-02,Preparation,Medium,0.7965664999292047,0.8777051413049226,0.3451630834950441,0.7406734719852135,0.24555993218245703,Pass,2
WF-0027,K-03,Receiving,High,0.7081043231892895,0.6103329561627304,0.9180467411577325,0.8351022386854697,0.633271581637029,Review,3
WF-0028,K-04,Plating,Medium,0.5157202456558557,0.576917653734652,0.6419354418986863,0.23937541799586498,0.5146265291131417,Pass,4
WF-0029,K-05,Preparation,Low,0.567100786243346,0.7339367981022503,0.7601399068515989,0.2867734008724283,0.8915997662307136,Pass,3
WF-0030,K-06,Cleaning,Medium,0.5313169012376965,0.2716039696292755,0.19702959492141392,0.24201337927665983,0.4042995027529698,Pass,0
WF-0031,K-01,Receiving,High,0.5856809235905701,0.44845389171843164,0.7517025065236235,0.48431222926422124,0.9548109527293092,Review,4
WF-0032,K-02,Plating,Low,0.8467831924903784,0.6828214326822978,0.169742297623096,0.9730986624026561,0.5110909371323512,Review,3
WF-0033,K-03,Cooking,Medium,0.9127469473066404,0.19084166905077912,0.45709627309518,0.5178079179202666,0.1823989470649341,Review,3
WF-0034,K-04,Cleaning,Medium,0.4515648159706085,0.838358416202616,0.2616376937826699,0.34902986641150807,0.9760071097023192,Pass,4
WF-0035,K-05,Plating,Medium,0.34094200059324276,0.7521857427058064,0.834228844864969,0.7099646662179694,0.23362773013085592,Review,2
WF-0036,K-06,Receiving,Medium,0.1931785022790982,0.725483176415105,0.8438111665887513,0.7537129432579172,0.744842623515676,Pass,0
WF-0037,K-01,Plating,High,0.5498265804499379,0.3423120337966807,0.29116800784397245,0.7626720925921608,0.9093156782166589,Pass,2
WF-0038,K-02,Plating,Medium,0.8689471621864848,0.7089031574939411,0.5975971798489697,0.5034265928305618,0.2597696422027847,Pass,2
WF-0039,K-03,Cleaning,Medium,0.5855294726107555,0.500165706221899,0.9710231519781711,0.8140161057488831,0.4984119831122227,Pass,0
WF-0040,K-04,Plating,High,0.34777102456447956,0.7818539067629067,0.6932360254097061,0.34841944017701276,0.2256010271544901,Pass,1
WF-0041,K-05,Receiving,High,0.3313361600750262,0.525799655317334,0.35946588396388784,0.19205090710248923,0.27414633346554507,Pass,4
WF-0042,K-06,Receiving,High,0.880131615457092,0.5024919540724879,0.7053440801913938,0.3230735274839674,0.9484157154413252,Pass,2
